TBM,,,32.502,TAG RT FT JN19027
TR2,5506.579,5000.000,32.502,156 TAG TC END CULDESAC
TR1,5000.000,5000.000,38.453,156 MAG LT FT
TR3,5004.796,4888.321,40.500,156 H&T RR TOP SLOPE
10000,4972.359,4996.441,38.686,TC.1
10001,4972.320,4996.505,38.636,2.106
10002,4972.391,5000.301,38.803,2.101
10003,4979.108,5000.280,38.697,2.101
10004,4974.985,4996.508,38.584,2.106
10005,4975.031,4996.460,38.623,TC.1
10006,4979.121,4996.290,38.977,TC.1
10007,4979.159,4996.711,38.256,2.106
10008,4979.645,4996.386,38.127,2.106E
10009,4984.368,4996.297,38.983,TC.1
10010,4987.090,4996.303,38.973,TC.1
10011,4988.889,4996.343,38.944,TC.1
10012,4984.615,5000.240,38.630,2.101
10013,4987.106,5000.234,38.617,2.101
10014,4989.000,4998.388,38.572,2.101
10015,4986.659,4996.352,38.091,2.106
10016,4987.189,4996.633,38.213,2.106
10017,4988.995,4996.487,38.446,2.106
10018,4984.913,4993.700,39.001,1502
10019,4984.887,4993.669,39.001,1601
10020,4989.500,4993.905,39.033,166
10021,4982.808,4989.705,38.965,1630
10022,4982.796,4983.908,38.263,165
10023,4983.327,4980.536,39.855,1622
10024,4983.500,4979.847,39.706,1620
10025,4978.145,4986.560,38.670,1620
10026,4977.531,4990.484,35.797,162
10027,4996.754,4996.934,38.677,TC.1
10028,4996.790,4997.040,38.351,2.106
10029,4996.754,4998.387,38.447,2.101
10030,5004.212,4998.652,38.319,2.101
10031,5004.262,4997.694,38.267,2.106
10032,5004.222,4997.549,38.349,TC.1E
10033,4996.811,4995.706,38.823,TC.1
10034,5004.235,4995.671,38.724,TC.1
10035,5025.368,4995.459,38.480,TC.1
10036,5025.364,4997.390,38.004,2.106
10037,5025.307,4998.421,38.060,2.101
10038,5041.429,4998.236,37.895,2.101
10039,5041.588,4997.261,37.830,2.106
10040,5041.656,4995.203,38.302,TC.1
10041,5054.405,4995.165,38.114,TC.1
10042,5054.392,4996.991,37.655,2.106
10043,5054.343,4998.068,37.720,2.101
10044,5068.178,4998.015,37.590,2.101E
10045,5068.230,4996.961,37.529,2.106E
10046,5068.276,4994.925,37.964,TC.1E
10047,5057.531,4996.940,37.707,2.101
10048,5057.115,4996.930,37.704,2.101
10049,5057.125,4995.441,38.069,2.101
10050,5057.431,4995.264,38.062,2.101CC
10051,5056.019,4995.342,38.077,2.101
10052,5055.553,4995.330,38.083,2.101
10053,5055.504,4996.934,37.716,2.101
10054,5055.987,4996.982,37.718,2.101CC
10055,5055.289,4993.268,38.209,2.101
10056,5055.323,4992.390,38.275,2.101
10057,5056.321,4992.417,38.264,2.101
10058,5056.307,4993.277,38.202,2.101CC
10059,5056.803,4991.840,38.292,2.101
10060,5055.032,4991.831,38.293,2.101
10061,5054.755,4993.730,38.179,2.101
10062,5056.803,4993.772,38.177,2.101CC
10063,5055.865,4992.919,38.237,TG
10064,5055.937,4996.215,37.870,TG
10065,5057.355,4996.132,37.854,TG
10066,5058.883,4993.239,38.197,166
10067,5068.490,5009.483,37.762,1502
10068,5054.395,5008.991,37.910,1502
10069,5041.994,5009.910,38.060,1502
10070,5025.509,5009.537,38.271,1502
10071,5006.373,5009.536,38.550,1502
10072,5002.934,5009.441,38.585,1502
10073,5002.854,5009.514,38.587,1601
10074,4989.247,5009.941,38.776,1502
10075,4984.597,5009.928,38.816,1502
10076,4972.493,5010.031,38.971,1502
10077,4967.991,5003.624,38.895,1502
10078,4967.950,5003.523,38.898,160
10079,4972.227,5024.301,39.093,TC.1
10080,4972.162,5024.109,38.428,2.106
10081,4972.124,5020.835,38.793,2.101
10082,4977.119,5020.262,38.740,2.101
10083,4977.374,5023.909,38.320,2.106
10084,4977.338,5024.249,39.024,TC.1
